,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2006,886833,"Private Suite, Free Metrocard*",4701443,Christina,Queens,Flushing,40.7525,-73.81126,Entire home/apt,81,1,313,2019-07-05,4.09,2,263
2015,891117,Private Bedroom in Manhattan,4734398,Jj,Manhattan,Harlem,40.82264,-73.94041,Private room,49,1,594,2019-06-15,7.57,3,339
2030,903947,Beautiful Bedroom in Manhattan,4734398,Jj,Manhattan,Harlem,40.82124,-73.93838000000001,Private room,49,1,597,2019-06-23,7.72,3,342
2031,903972,Great Bedroom in Manhattan,4734398,Jj,Manhattan,Harlem,40.82085,-73.94025,Private room,49,1,607,2019-06-21,7.75,3,293
2080,938022,Private Bedroom in Williamsburg,1866827,Gregory,Brooklyn,Williamsburg,40.7078,-73.94827,Private room,99,1,94,2019-06-16,1.22,1,358
2092,945297,East Village Gay Friendly Dbl Room,5074654,Seth,Manhattan,East Village,40.728359999999995,-73.98163000000001,Private room,100,1,414,2019-06-22,5.39,2,231
2103,957002,Cozy PRIVATE Studio Apartment UWS and Jazz Tour.,5202854,Sabrina,Manhattan,Upper West Side,40.7982,-73.96394000000001,Entire home/apt,100,1,129,2019-06-21,1.76,1,281
2163,999248,TriBeCa 2500 Sq Ft w/ Priv Elevator,273174,Jon,Manhattan,Tribeca,40.71927,-74.00453,Entire home/apt,575,1,447,2019-07-01,5.89,3,207
2220,1042806,My Other Little Guestroom,2680820,Linda,Queens,Flushing,40.75334,-73.81699,Private room,59,1,281,2019-06-11,3.7,3,322
2242,1060019,"Modern Duplex 1 bdrm , 1.5 Baths + terrace!",5837033,Mark,Manhattan,Upper East Side,40.7744,-73.95578,Entire home/apt,199,1,116,2019-06-17,1.54,1,300
2247,1066769,"Clean Room, Central Location in Manhattan",3327668,Tim,Manhattan,Lower East Side,40.720459999999996,-73.98773,Private room,120,1,360,2019-06-24,4.79,1,240
2259,1074155,"Big 1st Meal, Kind Host, Ace Space",5909206,Nancy,Manhattan,East Harlem,40.797940000000004,-73.93223,Private room,58,1,323,2019-07-01,4.3,1,284
2264,1077375,Private RM 15min from the Manhattan,5855145,Edward,Queens,Astoria,40.75959,-73.90835,Private room,70,1,136,2019-06-23,1.81,2,359
2291,1102858,Brownstone Flat on Tree-Lined Block,5908577,Eric,Brooklyn,Crown Heights,40.672709999999995,-73.94551,Entire home/apt,105,1,349,2019-06-30,4.73,2,277
2350,1144861,Stylish Arty Brooklyn Appartment #4,252361,Lucien,Brooklyn,Cobble Hill,40.6866,-73.99123,Entire home/apt,190,1,221,2019-07-01,3.0,1,238
2364,1150594,HEART OF EAST VILLAGE! Quiet apt in middle of NYC!,7399728,Mickey,Manhattan,East Village,40.7252,-73.98261,Entire home/apt,129,1,96,2019-01-13,1.31,1,324
2394,1178231,"Private, Cozy hideaway apt in Bklyn for 1 to 3 .",6445684,Sharon,Brooklyn,Canarsie,40.64298,-73.89035,Entire home/apt,99,1,93,2019-06-23,1.28,1,311
2397,1180296,Comfortable Central Park North Rm,3274316,Clotaire,Manhattan,Harlem,40.8004,-73.95645,Private room,125,1,85,2019-06-29,1.15,1,301
2410,1186569,beautiful spacious room,6471461,Robert,Queens,Ridgewood,40.70823,-73.89925,Private room,55,1,224,2019-07-02,3.87,2,356
2436,1215627,Floating Cabin Houseboat Rockaway Surf's Up!,5720054,Ingrid,Queens,Arverne,40.592040000000004,-73.78665,Entire home/apt,150,1,109,2019-06-22,1.49,1,358
2476,1256536,Clean 2Bedroom-Ideal UpperEast Loc.,4995411,Mayrav,Manhattan,Upper East Side,40.76398,-73.9589,Entire home/apt,125,1,92,2019-06-15,1.27,1,247
2482,1264621,nice room in bedstuy N,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68388,-73.95019,Private room,65,1,85,2019-06-03,1.16,15,345
2488,1267945,nice room in bedstuy I,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68201,-73.95012,Private room,65,1,119,2019-06-30,1.61,15,313
2494,1275942,nice room in bedstuy H,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.6824,-73.95039,Private room,55,1,127,2019-06-14,1.77,15,318
2513,1291490,nice room in bedstuy M,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68322,-73.95085,Private room,60,1,142,2019-06-13,1.95,15,321
2543,1313711,Less than a minute from the Metro,7120328,Kiriko,Brooklyn,Prospect-Lefferts Gardens,40.65833,-73.94819,Entire home/apt,151,1,173,2019-07-05,2.36,1,213
2545,1316480,nice room in bedstuy K,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68325,-73.94975,Private room,45,1,117,2019-05-30,1.61,15,236
2547,1317612,"Sunny Rm #3, Air Conditioner, Park,Express Q train",2478675,Gina,Brooklyn,Flatbush,40.653929999999995,-73.95845,Private room,36,1,173,2019-06-29,2.38,5,360
2564,1330056,Spacious Loft 5 min to Union Square,124357,Alex,Brooklyn,Williamsburg,40.715709999999994,-73.95813000000001,Private room,90,1,115,2019-05-21,1.63,3,359
2583,1342515,Furnished Room + Bath in Hamiliton Heights,7281500,Christian,Manhattan,Harlem,40.82343,-73.94507,Private room,61,1,86,2019-06-30,1.83,1,233
2604,1354973,Gorgeous spacious. 2 subways close,306394,Marialuisa,Brooklyn,Bedford-Stuyvesant,40.6842,-73.9177,Private room,59,1,123,2019-06-30,2.23,1,336
2607,1358963,1 Bedroom in Sunny & Spacious Apt.,6776157,Giovanna,Brooklyn,Prospect Heights,40.67738,-73.96509,Private room,100,1,96,2019-06-28,1.36,2,333
2635,1392330,"Verna's Brownstone Suite (no stove, no gatherings)",5959653,Verna,Brooklyn,Bedford-Stuyvesant,40.68695,-73.92364,Entire home/apt,120,1,226,2019-07-04,3.22,2,274
2645,1399448,★HUGE beautiful E. Villager 2nd Av★,7558452,Zev,Manhattan,East Village,40.72463,-73.98938000000001,Entire home/apt,260,1,320,2019-06-12,5.68,2,253
2680,1430650,"Columbus Circle Comfort, minutes from Times Square",7691518,Brent,Manhattan,Hell's Kitchen,40.768,-73.98695,Private room,99,1,123,2019-06-25,1.99,2,245
2709,1461721,3B. Private  Rm in Guesthouse Manhattan,7831209,Bobi,Manhattan,East Harlem,40.807590000000005,-73.93839,Private room,55,1,167,2019-05-07,2.78,10,363
2714,1465446,Historic Townhouse with Private Backyard,7850260,Raymond,Manhattan,Harlem,40.80533,-73.94665,Entire home/apt,175,1,152,2019-07-04,4.54,3,248
2715,1466081,JFK Jupiter Suites w/ Parking,7853251,Enyinne,Queens,St. Albans,40.6891,-73.7733,Private room,59,1,190,2019-06-16,2.64,5,359
2755,1492856,small room in bedstuy P,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68411,-73.95169,Private room,55,1,162,2019-06-19,2.26,15,334
2757,1496319,Private Huge 2br Williamsburg Artist Apartment!,7997061,Rebecca,Brooklyn,Williamsburg,40.71471,-73.94045,Entire home/apt,250,1,87,2019-06-27,1.23,1,272
2797,1542279,nice room in bedstuy L,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.6839,-73.95042,Private room,55,1,126,2019-06-19,1.77,15,343
2808,1560408,Airy Designer Loft in Williamsburg,8300712,Andrew And Stine,Brooklyn,Williamsburg,40.7133,-73.94601999999999,Entire home/apt,280,1,124,2019-06-23,1.77,1,359
2815,1572815,Private room - Heart of East Village,4106680,Alexandre,Manhattan,East Village,40.72853,-73.98619000000001,Private room,100,1,212,2019-06-23,3.05,1,278
2820,1578776,Nice private room in Astoria,4645357,Beatrix,Queens,Long Island City,40.75909,-73.93217,Private room,51,1,165,2019-06-23,2.36,1,361
2830,1586773,Beautiful Brownstone in West Harlem,8455776,Wendy,Manhattan,Harlem,40.824529999999996,-73.94923,Entire home/apt,155,1,123,2019-06-24,1.74,2,170
2919,1682958,Beautiful Cozy Room Great Price!,6194487,Rocio & James,Queens,Astoria,40.76359,-73.90586,Private room,79,1,274,2019-04-25,4.02,3,308
2955,1712660,Cosy Room in Great Location -W'burg,2332618,Alison,Brooklyn,Williamsburg,40.70833,-73.95395,Private room,89,1,214,2019-06-28,3.07,2,354
2976,1733054,"Williamsburg Brooklyn, Parkside Penthouse NYC View",8072802,John,Brooklyn,Williamsburg,40.7179,-73.95103,Private room,99,1,340,2019-07-01,4.9,2,263
2992,1744216,Prime Williamsburg Large bedroom for 1or2 people,2480939,Charles,Brooklyn,Williamsburg,40.71973,-73.96070999999999,Private room,85,1,221,2019-06-26,4.1,3,206
3023,1777007,Space For guest,3980927,Aude,Manhattan,Battery Park City,40.71078,-74.01623000000001,Shared room,55,1,205,2019-06-15,3.04,1,326
3033,1782667,Bushwick Artist Loft - Cozy Room,3886532,Tom & Lily,Brooklyn,Bushwick,40.70818,-73.92201999999999,Private room,69,1,142,2019-06-17,2.12,3,329
3071,1813829,Enjoy Harlem Renassiance Sunny Room,9501531,Andre,Manhattan,Harlem,40.82519,-73.9453,Private room,60,1,93,2019-07-02,1.34,3,358
3105,1843108,HappyCozy GuestSuite w/ Great Energy close to JFK,2021121,Megan,Brooklyn,Cypress Hills,40.6784,-73.89362,Entire home/apt,125,1,319,2019-07-08,8.52,1,357
3169,1888006,"14 Min 2Union Sq, Manhattan with Private Entrance",9820942,Erica And Jorel,Brooklyn,Bushwick,40.70565,-73.92254,Private room,58,1,236,2019-06-24,3.45,3,350
3183,1899076,"14 min to Union Square, Manhattan-Sunny Modern Rm",9820942,Erica And Jorel,Brooklyn,Bushwick,40.70505,-73.92281,Private room,59,1,238,2019-05-12,3.46,3,320
3192,1906804,Private Master Bedroom w/Garden 14 min to Union Sq,9820942,Erica And Jorel,Brooklyn,Bushwick,40.70561,-73.92515,Private room,55,1,227,2019-06-14,3.31,3,341
3207,1914590,Nice clean large Bedroom in Astoria,6194487,Rocio & James,Queens,Astoria,40.76425,-73.90489000000001,Private room,79,1,108,2019-05-30,2.68,3,313
3215,1919766,Full of Harlem Soul & Charm,9501531,Andre,Manhattan,Harlem,40.82438,-73.94332,Private room,60,1,245,2019-07-07,3.6,3,336
3249,1937325,2Br East Village VERY Spacious Apt.,5048868,Matthew,Manhattan,East Village,40.72815,-73.98059,Entire home/apt,295,1,261,2019-06-08,3.82,1,245
3299,1971540,Sunny Midtown NYC Room,10179999,Joseph,Manhattan,Upper West Side,40.77021,-73.98721,Private room,150,1,157,2019-06-28,2.49,1,365
3315,1980179,Best of the East Village Cozy 2 Bedroom,18174,Katya,Manhattan,East Village,40.72862,-73.98885,Entire home/apt,142,1,214,2019-07-05,3.17,1,242
3327,1987546,nice room in bedstuy A,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68248,-73.95149,Private room,60,1,93,2019-04-22,1.38,15,305
3390,2030736,Room B,10384906,Susan,Brooklyn,Sunset Park,40.64532,-74.02063000000001,Private room,32,1,111,2019-04-20,1.7,5,208
3407,2044873,Bushwick Artist Loft - Awesome Room,3886532,Tom & Lily,Brooklyn,Bushwick,40.707809999999995,-73.92184,Private room,79,1,89,2019-04-24,1.39,3,310
3425,2055819,"Garden Oasis, Williamsburg!        ",10528287,Mike,Brooklyn,Williamsburg,40.71589,-73.95534,Entire home/apt,164,1,200,2019-07-05,3.37,2,208
3426,2056012,"Rancho Deluxe, Williamsburg! ",10528287,Mike,Brooklyn,Williamsburg,40.71542,-73.95652,Entire home/apt,210,1,215,2019-07-02,3.2,2,224
3504,2093455,Nice bedroom,6471461,Robert,Queens,Ridgewood,40.707159999999995,-73.89905999999999,Private room,60,1,275,2019-07-05,4.64,2,329
3552,2119216,"Affordable, Private, Simple & Clean NYC Flat!",10806025,Christina,Manhattan,Harlem,40.82029,-73.93861,Entire home/apt,80,1,353,2019-06-19,5.26,1,258
3654,2197401,Bedroom with Private Bathroom,11208418,Maureen And Josiah,Manhattan,Washington Heights,40.841190000000005,-73.939,Private room,90,1,271,2019-06-23,4.32,1,281
3680,2214831,LAVISH 2 BR APT by Central Park!!!,11297009,Lex,Manhattan,Upper West Side,40.78605,-73.97354,Entire home/apt,99,1,153,2019-05-26,2.39,4,327
3783,2274268,Private Rm - Times Sq/Hell'sKitchen,11611239,Sally,Manhattan,Hell's Kitchen,40.7604,-73.9922,Private room,90,1,170,2019-06-10,2.92,1,255
3801,2289612,Private Room in Best Location!!,11673798,Shell,Manhattan,Murray Hill,40.74576,-73.97821,Private room,110,1,227,2019-06-30,3.5,1,239
3823,2305890,Midwood Aerie - Bright  & Private!,11778114,Jake,Brooklyn,Flatbush,40.63449,-73.95742,Entire home/apt,140,1,141,2019-07-01,2.41,1,307
3946,2457755,Ultimate Luxury Manhattan Apartment,4335080,Tiffany,Manhattan,Hell's Kitchen,40.76852,-73.98735,Entire home/apt,150,1,94,2019-06-23,1.48,2,215
4004,2514689,3 BEDS IN LOVELY 2BEDROOM/2BATH MIDTOWN RENTAL,12872352,Jada,Manhattan,Midtown,40.758790000000005,-73.96413000000001,Entire home/apt,399,1,87,2017-12-18,1.37,3,267
4040,2554749,Two real bedrooms near Central Park,9586465,Lang,Manhattan,Hell's Kitchen,40.76518,-73.98746,Entire home/apt,109,1,208,2019-06-22,3.22,1,261
4108,2636762,Beautiful Prime Williamsburg Apt,8481739,David,Brooklyn,Williamsburg,40.71498,-73.96104,Entire home/apt,152,1,334,2019-06-27,5.2,1,269
4123,2653644,Private 1BR W/ Private Bathroom in Chinatown,6991947,Peter,Manhattan,Two Bridges,40.71226,-73.99416,Private room,100,1,103,2019-06-23,2.21,1,223
4137,2664975,"Cute Studio in Bushwick BK, NYC",12461367,Brittany,Brooklyn,Bushwick,40.699870000000004,-73.92551999999999,Entire home/apt,100,1,104,2019-06-23,1.65,1,334
4211,2748128,The Haven 2beds,11757212,Jasmine,Brooklyn,Bushwick,40.6982,-73.92851999999999,Private room,69,1,159,2019-06-24,2.89,4,280
4229,2774934,Females only for midtown apt share,1866728,Jeani,Manhattan,Upper West Side,40.77024,-73.98746,Shared room,70,1,225,2019-07-07,3.53,1,262
4268,2818471,Sunny Bedford Stuyvesant Townhouse,7850260,Raymond,Brooklyn,Bedford-Stuyvesant,40.685759999999995,-73.92211,Entire home/apt,150,1,197,2019-07-01,3.19,3,209
4328,2896760,"Safe, cozy & minutes to NYC",3339701,Angelo,Queens,Ditmars Steinway,40.77503,-73.91882,Private room,60,1,135,2019-06-16,2.14,4,309
4365,2936517,Boerum Hill 2BR Garden Apartment,686494,Molly,Brooklyn,Gowanus,40.68322,-73.98968,Entire home/apt,180,1,183,2019-06-23,2.9,1,197
4386,2968070,Near Times Square and Hell's Kitchen,14380456,Claude,Manhattan,Hell's Kitchen,40.75971,-73.98979,Private room,120,1,365,2019-07-05,5.81,1,174
